Date,IMLIED_VOLATILITY,OPTION_PRICE,OPTION_RETURN,DELTA,GAMMA,VEGA
4/12/2011,0.19825,4.4637,-0.000470351,,,
4/13/2011,0.203,4.4815,0.003979793,,,
4/14/2011,0.19875,4.51875,0.008277595,,,
4/15/2011,0.2005,4.47665,-0.009360408,,,
4/18/2011,0.202,4.53825,0.013666476,,,
4/19/2011,0.205,4.53325,-0.001102354,,,
4/20/2011,0.205,4.5344,0.000253649,,,
4/21/2011,0.201,4.528,-0.00141243,,,
4/22/2011,0.201,4.56925,0.009068737,,,
4/25/2011,0.20125,4.5655,-0.000821041,,,
4/26/2011,0.205,4.56865,0.000689719,,,
4/27/2011,0.204,4.5578,-0.002377705,,,
4/28/2011,0.2025,4.54705,-0.00236138,,,
4/29/2011,0.203,4.53505,-0.002642562,,,
5/2/2011,0.20525,4.5429,0.001729466,,,
5/3/2011,0.2075,4.5851,0.009246341,,,
5/4/2011,0.2085,4.639,0.01168691,,,
5/5/2011,0.21225,4.6153,-0.005121955,,,
5/6/2011,0.2105,4.63925,0.005175844,,,
5/9/2011,0.2105,4.62555,-0.002957432,,,
5/10/2011,0.20875,4.672,0.009991963,,,
5/11/2011,0.21075,4.63755,-0.007401036,,,
5/12/2011,0.208,4.6495,0.002573477,,,
5/13/2011,0.211,4.668,0.003971027,,,
5/16/2011,0.2155,4.69675,0.006140066,,,
5/17/2011,0.2175,4.6846,-0.002590247,,,
5/18/2011,0.218,4.71295,0.006033506,,,
5/19/2011,0.21525,4.78175,0.014492549,,,
5/20/2011,0.215,4.65375,-0.027133242,,,
5/23/2011,0.21625,4.76405,0.023424801,,,
5/24/2011,0.21725,4.72225,-0.008812766,,,
5/25/2011,0.217,4.8165,0.019762142,,,
5/26/2011,0.21725,4.7505,-0.013797648,,,
5/27/2011,0.2175,4.809,0.012239287,,,
5/30/2011,0.21525,4.67965,-0.027265841,,,
5/31/2011,0.21475,4.619,-0.013045089,,,
6/1/2011,0.2175,4.74255,0.026396734,,,
6/2/2011,0.215,4.753,0.002201032,,,
6/3/2011,0.21425,5.07275,0.065107079,,,
6/6/2011,0.21275,4.997,-0.015045345,,,
6/7/2011,0.2115,4.7574,-0.049136432,,,
6/8/2011,0.213,4.74485,-0.002641481,,,
6/9/2011,0.212,4.74545,0.000126445,,,
6/10/2011,0.214,4.7525,0.001484531,,,
6/13/2011,0.21325,4.79515,0.008934195,,,
6/14/2011,0.208,4.77165,-0.004912833,,,
6/15/2011,0.213,4.70705,-0.013630772,,,
6/16/2011,0.21575,4.7577,0.010702973,,,
6/17/2011,0.2135,4.7838,0.005470852,,,
6/20/2011,0.21375,4.7727,-0.002323027,,,
6/21/2011,0.2135,4.7745,0.000377074,,,
6/22/2011,0.21525,4.77545,0.000198954,,,
6/23/2011,0.21775,4.796,0.004294027,,,
6/24/2011,0.21875,4.8443,0.010020519,,,
6/27/2011,0.21875,4.87145,0.005588878,,,
6/28/2011,0.215,4.85685,-0.003001554,,,
6/29/2011,0.211,4.85095,-0.001215518,,,
6/30/2011,0.20875,4.7905,-0.012539772,,,
7/1/2011,0.208,4.7224,-0.014317645,0.4986,11.44,21791.11
